,8,1,2,3,4,5,6,7,8,-,Y,M,
"[1.0, ""['-', '-', '-', '-', '-', 'X', '-', '-', '-']"", '3', 'O', 'in progress', '2023-12-11 15:57:10.186211', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[2.0, ""['-', '-', '-', 'O', '-', 'X', '-', '-', '-']"", '0', 'X', 'in progress', '2023-12-11 15:57:10.186211', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[3.0, ""['X', '-', '-', 'O', '-', 'X', '-', '-', '-']"", '1', 'O', 'in progress', '2023-12-11 15:57:10.186211', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[4.0, ""['X', 'O', '-', 'O', '-', 'X', '-', '-', '-']"", '4', 'X', 'in progress', '2023-12-11 15:57:10.186211', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[5.0, ""['X', 'O', '-', 'O', 'X', 'X', '-', '-', '-']"", '7', 'O', 'in progress', '2023-12-11 15:57:10.186211', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[6.0, ""['X', 'O', '-', 'O', 'X', 'X', '-', 'O', '-']"", '8', 'X', 'in progress', '2023-12-11 15:57:10.186211', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[0.0, ""['-', '-', '-', '-', '-', '-', '-', '-', '-']"", '5', 'X', 'in progress', '2023-12-11 15:57:10.201818', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[1.0, ""['-', '-', '-', '-', '-', 'X', '-', '-', '-']"", '4', 'O', 'in progress', '2023-12-11 15:57:10.201818', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[2.0, ""['-', '-', '-', '-', 'O', 'X', '-', '-', '-']"", '6', 'X', 'in progress', '2023-12-11 15:57:10.201818', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[3.0, ""['-', '-', '-', '-', 'O', 'X', 'X', '-', '-']"", '2', 'O', 'in progress', '2023-12-11 15:57:10.201818', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[4.0, ""['-', '-', 'O', '-', 'O', 'X', 'X', '-', '-']"", '0', 'X', 'in progress', '2023-12-11 15:57:10.201818', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
"[5.0, ""['X', '-', 'O', '-', 'O', 'X', 'X', '-', '-']"", '1', 'O', 'in progress', '2023-12-11 15:57:10.201818', nan, nan, nan]",,,,,,,,,,,,,"[2, 0.0]"
